 cookie=0x0, duration=9.663s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=da:af:5c:3f:09:cf,dl_dst=e6:a2:a8:c3:98:28,arp_spa=10.0.0.10,arp_tpa=10.0.0.16,arp_op=1 actions=output:4
 cookie=0x0, duration=9.663s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=da:af:5c:3f:09:cf,dl_dst=3a:4a:4f:54:fb:4f,arp_spa=10.0.0.10,arp_tpa=10.0.0.6,arp_op=1 actions=output:2
 cookie=0x0, duration=9.663s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=8e:a2:f7:07:6a:51,dl_dst=46:10:16:4b:0a:82,arp_spa=10.0.0.2,arp_tpa=10.0.0.5,arp_op=1 actions=output:2
 cookie=0x0, duration=9.663s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=fe:31:f1:2c:b4:17,dl_dst=de:bc:a4:f6:ca:ba,arp_spa=10.0.0.3,arp_tpa=10.0.0.8,arp_op=1 actions=output:2
 cookie=0x0, duration=9.649s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=4,vlan_tci=0x0000/0x1fff,dl_src=32:80:ac:e2:f9:b7,dl_dst=32:0c:be:b4:87:19,arp_spa=10.0.0.15,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=9.229s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=ee:60:aa:be:39:dd,dl_dst=fe:31:f1:2c:b4:17,arp_spa=10.0.0.9,arp_tpa=10.0.0.3,arp_op=1 actions=output:1
 cookie=0x0, duration=8.651s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=ee:60:aa:be:39:dd,dl_dst=32:80:ac:e2:f9:b7,arp_spa=10.0.0.9,arp_tpa=10.0.0.15,arp_op=1 actions=output:4
 cookie=0x0, duration=8.651s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=fe:31:f1:2c:b4:17,dl_dst=e6:a2:a8:c3:98:28,arp_spa=10.0.0.3,arp_tpa=10.0.0.16,arp_op=1 actions=output:4
 cookie=0x0, duration=8.104s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=8e:a2:f7:07:6a:51,dl_dst=aa:3a:7f:c6:26:3c,arp_spa=10.0.0.2,arp_tpa=10.0.0.12,arp_op=1 actions=output:3
 cookie=0x0, duration=8.092s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=ee:60:aa:be:39:dd,dl_dst=32:0c:be:b4:87:19,arp_spa=10.0.0.9,arp_tpa=10.0.0.1,arp_op=1 actions=output:1
 cookie=0x0, duration=8.071s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=ee:60:aa:be:39:dd,dl_dst=de:bc:a4:f6:ca:ba,arp_spa=10.0.0.9,arp_tpa=10.0.0.8,arp_op=1 actions=output:2
 cookie=0x0, duration=7.688s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=fe:31:f1:2c:b4:17,dl_dst=fa:8c:30:22:97:34,arp_spa=10.0.0.3,arp_tpa=10.0.0.13,arp_op=1 actions=output:4
 cookie=0x0, duration=7.160s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=92:e1:6a:49:80:b9,dl_dst=32:80:ac:e2:f9:b7,arp_spa=10.0.0.11,arp_tpa=10.0.0.15,arp_op=1 actions=output:4
 cookie=0x0, duration=7.160s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=ee:60:aa:be:39:dd,dl_dst=2e:60:72:f6:9e:17,arp_spa=10.0.0.9,arp_tpa=10.0.0.14,arp_op=1 actions=output:4
 cookie=0x0, duration=6.663s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=ee:60:aa:be:39:dd,dl_dst=ae:89:26:17:29:a8,arp_spa=10.0.0.9,arp_tpa=10.0.0.4,arp_op=1 actions=output:1
 cookie=0x0, duration=6.654s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=fe:31:f1:2c:b4:17,dl_dst=3a:4a:4f:54:fb:4f,arp_spa=10.0.0.3,arp_tpa=10.0.0.6,arp_op=1 actions=output:2
 cookie=0x0, duration=6.176s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=92:e1:6a:49:80:b9,dl_dst=fe:31:f1:2c:b4:17,arp_spa=10.0.0.11,arp_tpa=10.0.0.3,arp_op=1 actions=output:1
 cookie=0x0, duration=6.173s, table=0, n_packets=1, n_bytes=42, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,arp,in_port=3,vlan_tci=0x0000/0x1fff,dl_src=92:e1:6a:49:80:b9,dl_dst=fa:8c:30:22:97:34,arp_spa=10.0.0.11,arp_tpa=10.0.0.13,arp_op=1 actions=output:4
